"station","name","latitude","longitude","elevation","class","missing","Q0.05","SE0.05","PV0.05","Q0.1","SE0.1","PV0.1","Q0.25","SE0.25","PV0.25","Q0.5","SE0.5","PV0.5","Q0.75","SE0.75","PV0.75","Q0.9","SE0.9","PV0.9","Q0.95","SE0.95","PV0.95","Qols","SEols","PVols"
"40703","Khoy",38.558,44.9952,1103.4,"BSk",0.83,0.089,0.046,0.054,0.081,0.028,0.004,0.058,0.019,0.003,0.063,0.018,0,0.049,0.016,0.002,0.031,0.023,0.178,0.029,0.03,0.338,0.054,0.015,0
"40706","Tabriz",38.1222,46.2425,1361,"BSk",0,0.417,0.034,0,0.37,0.032,0,0.337,0.018,0,0.337,0.017,0,0.326,0.014,0,0.331,0.018,0,0.333,0.024,0,0.349,0.013,0
"40712","Orumiyeh",37.6586,45.0552,1328,"Csa",1.15,0.228,0.044,0,0.175,0.026,0,0.125,0.018,0,0.091,0.015,0,0.059,0.012,0,0.093,0.018,0,0.143,0.022,0,0.119,0.012,0
"40718","Bandar Anzali",37.4797,49.4575,-23.6,"Cfa",0.06,0.307,0.027,0,0.263,0.02,0,0.231,0.014,0,0.214,0.01,0,0.202,0.01,0,0.174,0.012,0,0.155,0.014,0,0.212,0.01,0
"40719","Rasht",37.3167,49.6167,-8.6,"Cfa",0.23,0.181,0.033,0,0.124,0.027,0,0.013,0.02,0.499,-0.066,0.013,0,-0.129,0.011,0,-0.161,0.015,0,-0.204,0.026,0,-0.059,0.012,0
"40729","Zanjan",36.6602,48.5216,1659.4,"Csa",0.21,0.138,0.053,0.009,-0.022,0.034,0.512,-0.163,0.017,0,-0.269,0.018,0,-0.26,0.013,0,-0.235,0.02,0,-0.193,0.026,0,-0.186,0.015,0
"40731","Qazvin",36.2616,50.0613,1279.1,"Csa",0,0.116,0.035,0.001,0.024,0.024,0.323,-0.188,0.021,0,-0.34,0.018,0,-0.372,0.015,0,-0.337,0.016,0,-0.316,0.024,0,-0.276,0.013,0
"40732","Ramsar",36.9044,50.6833,-20,"Cfa",0.05,0.234,0.025,0,0.231,0.018,0,0.238,0.014,0,0.242,0.01,0,0.209,0.009,0,0.164,0.013,0,0.106,0.016,0,0.207,0.009,0
"40736","Babolsar",36.6986,52.6425,-21,"Csa",0,0.371,0.025,0,0.365,0.021,0,0.342,0.013,0,0.346,0.009,0,0.365,0.009,0,0.331,0.012,0,0.334,0.016,0,0.349,0.009,0
"40738","Gorgan",36.905,54.4136,0,"Csa",0.07,0.102,0.036,0.005,0.044,0.027,0.109,-0.046,0.017,0.009,-0.15,0.013,0,-0.259,0.013,0,-0.416,0.02,0,-0.66,0.029,0,-0.21,0.012,0
"40739","Shahrud",36.3805,54.9297,1325.2,"BSk",0,0.172,0.03,0,0.163,0.021,0,0.11,0.018,0,0.065,0.017,0,0.088,0.017,0,0.079,0.017,0,0.053,0.022,0.019,0.088,0.013,0
"40743","Sabzevar",36.2167,57.6667,962,"BSk",0,0.426,0.039,0,0.316,0.031,0,0.222,0.02,0,0.138,0.014,0,0.102,0.02,0,0.036,0.026,0.157,0.048,0.035,0.171,0.17,0.014,0
"40745","Mashhad",36.2363,59.6311,999.2,"BSk",0,0.606,0.039,0,0.627,0.035,0,0.58,0.02,0,0.542,0.015,0,0.553,0.019,0,0.549,0.02,0,0.552,0.034,0,0.57,0.015,0
"40747","Sanandaj",35.3333,47,1373.4,"Csa",1.46,0.324,0.036,0,0.154,0.026,0,-0.02,0.02,0.314,-0.126,0.012,0,-0.124,0.014,0,-0.069,0.021,0.001,-0.016,0.025,0.52,-0.026,0.013,0.042
"40754","Tehran",35.6933,51.3094,1191,"BSk",0,0.494,0.034,0,0.474,0.027,0,0.418,0.019,0,0.384,0.014,0,0.408,0.015,0,0.381,0.021,0,0.422,0.028,0,0.415,0.012,0
"40762","Torbat Heydariyeh",35.3316,59.2058,1451,"BSk",0.27,-0.06,0.044,0.172,-0.149,0.029,0,-0.229,0.019,0,-0.299,0.015,0,-0.294,0.016,0,-0.305,0.018,0,-0.321,0.025,0,-0.265,0.014,0
"40766","Kermanshah",34.3522,47.1533,1318.5,"Csa",0.73,0.552,0.033,0,0.476,0.026,0,0.455,0.016,0,0.39,0.013,0,0.366,0.014,0,0.33,0.021,0,0.324,0.029,0,0.417,0.012,0
"40769","Arak",34.0719,49.7833,1702.8,"Csa",0.18,0.365,0.052,0,0.223,0.032,0,0.168,0.017,0,0.144,0.012,0,0.088,0.016,0,0.069,0.023,0.003,0.081,0.032,0.011,0.15,0.014,0
"40782","Khorramabad",33.4388,48.2836,1147.8,"Csa",0.26,-0.031,0.033,0.345,-0.078,0.021,0,-0.171,0.015,0,-0.229,0.012,0,-0.277,0.012,0,-0.284,0.015,0,-0.296,0.019,0,-0.222,0.011,0
"40798","Shahrekord",32.2922,50.8394,2048.9,"Csa",0.15,-0.057,0.041,0.16,-0.193,0.026,0,-0.367,0.015,0,-0.51,0.012,0,-0.532,0.012,0,-0.398,0.02,0,-0.264,0.029,0,-0.396,0.012,0
"40800","Esfahan",32.5175,51.7061,1550.4,"BWk",0.35,0.387,0.033,0,0.315,0.019,0,0.247,0.016,0,0.25,0.011,0,0.274,0.012,0,0.274,0.018,0,0.269,0.024,0,0.28,0.011,0
"40809","Birjand",32.8905,59.2836,1491,"BWk",0.28,0.061,0.043,0.156,0,0.025,0.993,-0.097,0.017,0,-0.109,0.013,0,-0.058,0.019,0.003,-0.038,0.019,0.05,-0.051,0.03,0.091,-0.067,0.013,0
"40811","Ahvaz",31.3447,48.7441,22.5,"BWh",0.62,0.076,0.027,0.005,0.051,0.021,0.014,0.01,0.015,0.517,-0.022,0.013,0.086,-0.065,0.013,0,-0.083,0.014,0,-0.095,0.017,0,-0.026,0.01,0.008
"40821","Yazd",31.9038,54.2897,1230.2,"BWh",0.43,0.478,0.033,0,0.395,0.026,0,0.35,0.019,0,0.344,0.016,0,0.324,0.015,0,0.236,0.022,0,0.216,0.029,0,0.334,0.013,0
"40831","Abadan",30.3772,48.2147,6.6,"BWh",0.35,0.306,0.026,0,0.33,0.017,0,0.379,0.014,0,0.389,0.012,0,0.35,0.013,0,0.306,0.02,0,0.276,0.018,0,0.351,0.01,0
"40841","Kerman",30.25,56.9667,1748,"BWk",0.28,0.267,0.039,0,0.186,0.023,0,0.081,0.016,0,-0.016,0.017,0.367,-0.135,0.014,0,-0.251,0.019,0,-0.267,0.023,0,-0.028,0.012,0.023
"40848","Shiraz",29.5613,52.6025,1488,"BSh",0.29,0.466,0.023,0,0.443,0.018,0,0.43,0.014,0,0.407,0.01,0,0.358,0.009,0,0.311,0.017,0,0.319,0.021,0,0.394,0.009,0
"40854","Bam",29.0802,58.3522,1067,"BWh",0.03,0.383,0.036,0,0.39,0.022,0,0.361,0.017,0,0.328,0.015,0,0.313,0.02,0,0.272,0.022,0,0.252,0.024,0,0.33,0.013,0
"40856","Zahedan",29.4722,60.9002,1370,"BWh",0,0.444,0.043,0,0.426,0.029,0,0.364,0.016,0,0.331,0.014,0,0.299,0.02,0,0.241,0.022,0,0.255,0.025,0,0.33,0.013,0
"40858","Bushehr",28.963,50.8191,9,"BWh",0.15,0.353,0.019,0,0.326,0.013,0,0.329,0.01,0,0.345,0.009,0,0.324,0.011,0,0.29,0.014,0,0.287,0.02,0,0.327,0.008,0
"40875","Bandarabbas",27.2147,56.3727,9.8,"BWh",0.04,-0.097,0.027,0,-0.094,0.016,0,-0.143,0.011,0,-0.186,0.011,0,-0.224,0.011,0,-0.288,0.009,0,-0.308,0.01,0,-0.208,0.008,0
